代码 / Code,名称 / Name,代码 / Code,备注 / Notes
F14,海洋能,F10/19,术语、符号、通用试验方法、海洋能利用等。波浪能、海流能、温差能、盐差能利用装置入此。
F15,地热能,F10/19,术语、符号、通用试验方法、地热能利用等。地热能利用装置入此。
F19,新能源及其他,F10/19,
F20,电力综合,F20/29,电力系统短路电流、可靠性、带电作业、供电标准、电力技术管理，节能，技术考核，电力设施环境条件等。
F21,电力系统,F20/29,规划、设计、防雷接地、远动通讯调度，电网、供电管理等。
F22,电力系统设备安装测试,F20/29,系统设备出厂、安装、投运检验、测试等。
F23,电站、电力系统运行检修,F20/29,电站运行与检修，电力、输变电系统运行与检修等。各种动力、电气设备运行检修随产品入K类。
F24,电力试验技术,F20/29,电力试验技术，预防性试验，电力运行设备测试，在线监测，电厂化学测试，电力设备检验等。
F25,电力安全监察,F20/29,电力设备运行监督，安全监察、安全管理、电业事故调查等。
F29,其他,F20/29,
F40,核材料、核燃料综合,F40/49,术语、分类、命名、一般规则等。
F46,核材料、核燃料及其分析试验方法,F40/49,铀、镤、钚及其化合物等。
F48,核燃料元件及其分析试验方法,F40/49,
F49,核材料、核燃料生产、处理设备和设施,F40/49,设计、建造、运行、退役等。
F50,同位素与放射源综合,F50/59,术语、分类、命名、一般规则等。
F51,放射源,F50/59,
F53,同位素标记化合物,F50/59,
F54,医用同位素,F50/59,放射性药品入此。
F60,核反应堆综合,F60/69,术语、分类、命名、一般规则等。
F61,研究试验堆,F60/69,选址、评价、设计、计算、安装、调试、运行、维修、退役与安全等。
F62,生产堆,F60/69,选址、评价、设计、计算、安装、调试、运行、维修、退役与安全等。
F63,动力堆,F60/69,选址、评价、设计、计算、安装、调试、运行、维修、退役与安全等。
F64,供热堆,F60/69,选址、评价、设计、计算、安装、调试、运行、维修、退役与安全等。
F65,核电厂核岛,F60/69,设计、运行、安装、调试、维修、质量保证等安全规定、导则准则等。
F68,核电厂退役,F60/69,
F69,核反应堆与核电厂核岛设备,F60/69,堆的控制与保护装置，核燃料组件与装卸设备、压力壳、蒸发器、管系、专用容器、阀门及工具等。
F70,辐射防护与监测综合,F70/79,术语、符号、代号、单位、基本防护原则与限值等。
F72,核设施的幅射安全,F70/79,设计、运行、退役的辐射、评价与分析、辐射屏蔽等。
F73,环境幅射防护与核医学防护,F70/79,环境影响评价、排出流控制与监测，核辐射环境监测原则与方法，工作人员医学监督，受照处理，辐射预防药物等。
F74,幅射防护监测与评价,F70/79,内外照射，个人剂量，工作场所等的监督与评价，仪表校准参考辐射等。
F75,放射性三废处理,F70/79,技术规定、处置方法等。
F77,核幅射事故应急与处理,F70/79,应急计划、应急设备、事故处理等。
F79,防护用具与设备,F70/79,防护衣具、专用防护设备等。
F80,核仪器与核探测器综合,F80/89,术语、环境条件及其试验方法等。
F81,通用核仪器,F80/89,谱仪、多道分析器、液闪计数器、核电子部件和其他功能单元，核仪器性能指标测试，校准刻度装置等。
F82,堆用核仪器,F80/89,反应堆测量系统、安全系统、控制系统、保安系统、元件破损和空位系统、主控室及设备等。
F83,反应堆、核电厂安全配电设备,F80/89,优先电源、备用电源、大型铅蓄电池等。
F84,幅射防护仪器,F80/89,环境监测核仪器、表面污染、个人剂量监测仪，排出流监测仪等。
F85,勘探采矿和工艺监测核仪器,F80/89,辐射勘探、矿石品位分析、放射性测井、化工处理控制等。
F86,放射性同位素应用仪器,F80/89,厚度计、密度计、含量计、探伤计、料位计等。
F87,医用核仪器,F80/89,免疫测量装置、同位素活度计、脏器功能仪、放射性治疗机等。
F88,核探测器,F80/89,气体探测器、闪烁探测器、半导体探测器、径迹探测器、自给能探测器、热释光剂量元件等。
F90,低能加速器综合,F90/99,术语、分类、一般规则等。
F91,医用加速器,F90/99,
F92,工农业用加速器,F90/99,
FF2,异步电机,K20/29,
G00,标准化、质量管理,G00/09,标准化工作法规、导则，质量监督法规、导则，产品质量认证制度等。
G01,技术管理,G00/09,技术文件管理，能源管理（如：节能通则、能源计算通则），设备、工具管理等。
G02,经济管理,G00/09,计划、供销、财务、劳资管理等。
G04,基础标准与通用方法,G00/09,术语，符号，分类，命名，取样、制样方法，通用分析、试验方法、分析数据处理等。试验室用水入此。
G07,电子计算机应用,G00/09,
G08,标志、包装、运输、贮存,G00/09,
G09,卫生、安全、劳动保护,G00/09,
G10,无机化工原料综合,G10/14,术语，分类，命名，通用分析、试验方法等。
G11,无机酸、碱,G10/14,酸：硫酸、硝酸、盐酸、氯磺酸等。碱：烧碱、纯碱、氢氧化钾、碳酸氢钠等。
G12,无机盐,G10/14,硫酸盐、硝酸盐、氯酸盐、磷酸盐、碳酸盐及氰、硫氰、锰、卤素化合物等。炼焦生产的无机盐类入此。制盐（原盐、盐制品）入X35/39。
G13,氧化物、单质,G10/14,氧化物：五氧化二磷、氧化硅、氧化铝、氧化锌等。单质：黄磷、赤磷、硫、钠、镁、活性碳等。
G14,其他无机化工原料,G10/14,
G15,有机化工原料综合,G15/19,术语，分类，命名，通用分析、试验方法等。
G16,基本有机化工原料,G15/19,乙炔、乙烯、丙烯、丁烯、甲烷、乙烷、丙烷、苯、甲苯、二甲苯、萘、蒽、吡啶类、甲醇、乙醇等。炼油、炼焦、木材干馏生产的基本的有机化工原料入此。粮食制的酒精入X63。
G17,一般有机化工原料,G15/19,脂肪族与芳香族的烃类、醚类、醛类、酸类、酐类、酯类及其衍生物，元素有机化合物等。炼油、炼焦、木材干馏生产的一般有机化工原料入此。
G18,煤焦油加工产品,G15/19,杂酚油、萘油、蒽油、防腐油、煤沥青、沥青焦等。磷甲酚、间对甲酚入此。
G20,化肥基础标准与通用方法,G20/29,术语，分类，命名，通用分析、试验方法等。
G21,化肥、化学土壤调理剂,G20/29,氮肥、磷肥、钾肥、多元肥料、微量元素肥料、化学土壤调理剂等。非化工产品的土壤调理剂入B13。
G23,农药基础标准与通用方法,G20/29,术语，分类，命名，通用分析、试验方法等。
G24,农药中间体,G20/29,
G25,农药,G20/29,杀虫剂、杀菌剂、除草剂、杀鼠剂等。
G26,植物生长促进剂,G20/29,催熟剂、抑制剂等。
G30,合成材料综合,G30/39,
G31,合成树脂、塑料基础标准与通用方法,G30/39,术语，分类，命名，通用分析、试验方法等。
G32,合成树脂、塑料,G30/39,热塑性与热固性合成树脂、塑料，工程塑料等。
G33,塑料型材,G30/39,管、板、丝、棒、膜等。
G34,合成橡胶基础标准与通用方法,G30/39,术语，分类，命名，通用分析、试验方法等。
G35,合成橡胶,G30/39,丁苯、丁腈、顺丁、氯丁、聚硫、硅、氟、乙丙、丁基、异戊、聚胺脂橡胶及胶乳等。热塑性弹性体如此。天然橡胶入B72。
G38,胶粘剂基础标准与通用方法,G30/39,术语，分类，命名，通用分析、试验方法等。
G39,胶粘剂,G30/39,热塑性树脂类、热固性树脂类、橡胶类胶粘剂。明胶、骨胶、皮胶入此。建筑胶剂入Q27。
G40,橡胶制品综合,G40/49,术语，分类，命名，通用分析、试验方法等。
G41,轮胎,G40/49,各种轮胎及气门芯、嘴等。
G42,胶管、胶带、胶布,G40/49,
G43,橡胶密封件,G40/49,机械、航空、铁路、食品、医药等用的各种型式的橡胶密封件。
G44,胶乳制品,G40/49,医用胶乳制品入G45。
G45,医用和食品工业用橡胶制品,G40/49,医用胶乳制品入此。
G47,其他橡胶制品,G40/49,胶辊、胶板等。
G48,再生胶,G40/49,
G49,炭黑,G40/49,橡胶用炭黑、色素炭黑、乙炔炭黑、炭黑用原料油等。沉淀水合二氧化硅（即橡胶补强用白炭黑）入此。
G50,涂料基础标准与通用方法,G50/59,术语，分类，命名，通用分析、试验方法等。
G51,涂料,G50/59,油脂油漆类、天然树脂类、合成树脂类、橡胶树脂类涂料等。天然漆入B72。绝缘漆入K15。建筑专用涂漆入Q18。
G52,涂料辅助材料,G50/59,稀释剂、催干剂、脱漆剂、防潮剂等。石油炼制生产的涂料稀释剂入E33。
G53,颜料基础标准与通用方法,G50/59,术语，分类，命名，通用分析、试验方法等。
G54,颜料,G50/59,无机颜料：锌钡白、氧化铝、镉红等。有机颜料：酞菁、偶氮等。
G55,染料基础标准与通用方法,G50/59,术语，分类，命名，通用分析、试验方法等。
G56,染料中间体,G50/59,
G57,染料,G50/59,纤维用染料、皮革用染料等。
G60,化学试剂综合,G60/69,术语，分类，命名，通用分析、试验方法等。
G61,基准试剂,G60/69,
G62,一般无机试剂,G60/69,酸、碱、盐、氧化物、单质试剂等。
G63,一般有机试剂、有机溶剂,G60/69,脂肪族、芳香族、元素有机化合物、衍生物等试剂及各种有机溶剂。
G64,高纯试剂、高纯物质,G60/69,分析用高纯试剂，电子工业、光学等用的高纯化学品。
G65,指示剂、特效试剂,G60/69,
G66,生化试剂、临床分析试剂,G60/69,生物染色剂入此。
G67,仪器分析试剂,G60/69,色谱试剂、波谱试剂等。
G69,其他试剂,G60/69,同位素试剂等。
G70,化学助剂基础标准与通用方法,G70/79,术语，分类，命名，通用分析、试验方法等。
G71,化学助剂,G70/79,合成材料用助剂、印染助剂、农药用助剂、高分子聚合用助剂等。
G72,表面活性剂基础标准与通用方法,G70/79,
G73,表面活性剂,G70/79,洗涤剂入Y43。
G74,催化剂基础标准与通用方法,G70/79,术语，分类，命名，通用分析、试验方法分等。
G75,催化剂,G70/79,化肥合成、高分子聚合、石油化工催化剂及催化剂载体、分子筛等。
G76,水处理剂基础标准与通用方法,G70/79,术语，分类，命名，通用分析、试验方法等。
G77,水处理剂,G70/79,水处理剂用化工原料。水处理剂配方，罐外的入P类，罐内的随设备归类。
G80,感光材料基础标准与通用方法,G80/84,术语，分类，命名，通用分析、试验方法等。
G81,感光材料,G80/84,片基、电影胶片、X光胶片、胶卷、特种胶片、相纸等。
G82,磁记录材料基础标准与通用方法,G80/84,术语，分类，命名，通用分析、试验方法等。
G83,磁记录材料,G80/84,片基、磁粉、磁带（如录音、录像、计算机、仪器用磁带）磁盘、磁卡片等。
G84,照相级化学药品,G80/84,电影胶片用染料入此。
G85,其他化工产品综合,G85/89,
G86,工业气体与化学气体,G85/89,工业气体、稀有气体、高纯气体、特种气体等。
G89,火工产品,G85/89,炸药、烟火、雷管、云雹弹及其化工原料起爆、爆破器材等。矿山用火工产品入此。
G90,化工机械与设备综合,G90/99,术语，分类，命名，通用试验方法等。石油炼制机械与设备综合性标准入次。
G91,化工机械与设备零部件,G90/99,人手孔、视镜、液面计、填料密封、塔盘支座、法兰、紧固件等。石油炼制机械与设备零部件入此。非金属零部件入G94。
G92,化工机械,G90/99,输送、喷射、混合结晶、回转搅拌、干燥机械等。石油炼制机械入此。非金属机械入G94。
G93,化工设备,G90/99,化工压力容器、储罐、换热设备、塔、釜、反应器、裂解炉、气体发生装置等。石油炼制设备入此。非金属设备入G94。铁路罐车入S52，汽车罐车入T58。通用的压力容器、换热设备入J75
G94,非金属化工机械设备,G90/99,搪玻璃、化工陶瓷、不透性石墨、橡胶、塑料、玻璃钢等材质的和有这些材质衬里的塔、釜、反应器、储罐、泵、管道、阀门及其零部件等。
G95,橡胶、塑料用机械,G90/99,压延机、挤出机、成型机、截断机、炼胶机、硫化机、再生胶加工机等。
G96,感光材料、磁带用机械,G90/99,涂布机、涂装机、流延机、拉幅机、收卷机、供接片机等。
G98,化工专用仪器仪表,G90/99,化工测量与控制专用温度仪表、物位仪表、流量仪表、显示仪表、分析仪表，橡胶、涂料测试仪器，化工安全防护仪表，气动单元组合、电动单元组合仪表等。通用仪器仪表入N类。
H00,标准化、质量管理,H00/09,标准化工作法规、导则，质量监督法规、导则，产品质量认证制度等。
H01,技术管理,H00/09,技术文件管理，能源管理，设备、工具管理等。
H02,经济管理,H00/09,计划、供销、财务、劳资管理等。
H04,基础标准与通用方法,H00/09,术语，符号，取样、制样方法等。
H05,通用工艺,H00/09,通用的冶炼、浇注、扎制、热处理等。
H07,电子计算机应用,H00/09,
H08,标志、包装、运输、贮存,H00/09,
H09,卫生、安全、劳动保护,H00/09,
H10,金属化学分析方法综合,H10/19,术语、一般规定等。
H11,钢铁与铁合金分析方法,H10/19,
H12,轻金属及其合金分析方法,H10/19,钠、镁、铝、钾、钙、锶、钡等及其合金的化学分析方法。
H13,重金属及其合金分析方法,H10/19,钴、镍、铜、锌、镉、锑、锡、汞、铅、铋等及其合金化学分析方法。
H14,稀有金属及其合金分析方法,H10/19,稀有轻金属、稀有高熔点金属、稀有分散金属、稀土金属、稀有放射性金属等及其合金的化学分析方法。
H15,贵金属及其合金分析方法,H10/19,钌、铑、钯、银、锇、铱、铂、金等及其合金的化学分析方法。
H16,粉末冶金分析方法,H10/19,轻、重、贵金属粉及制品等化学分析方法。
H17,半金属及半导体材料分析方法,H10/19,硼、硅、砷、硒、碲、锗、砷化镓等化学分析方法。
H20,金属理化性能试验方法综合,H20/29,术语、符号、一般规定等。
H21,金属物理性能试验方法,H20/29,常数测定，热性能、电性能、磁性能等试验方法。
H22,金属力学性能试验方法,H20/29,拉力、硬度、冲击、疲劳等试验方法。
H23,金属工艺性能试验方法,H20/29,扩口、弯曲、线材扭转等试验方法。
H24,金相检验方法,H20/29,高、低倍检验，热处理检验方法等。
H25,金属化学性能试验方法,H20/29,晶间腐蚀、人造汗腐蚀、氨薰、板线材镀层试验方法等。通用试验方法入A29。
H26,金属无损检验方法,H20/29,超声波、涡流、磁粉、荧光等探伤方法。
H30,冶金原料与辅助材料综合,H30/34,
H31,人造富矿,H30/34,烧结矿、球团矿等。
H32,焦炭,H30/34,冶金焦、铸造焦等。
H34,选矿药剂,H30/34,起泡剂、捕收剂、调整剂、辅助剂等。
H40,钢铁产品综合,H40/59,术语、分类、牌号、一般规定、通用工艺、通用技术条件等。
H41,生铁,H40/59,炼钢生钛、铸造生钛、球墨铸造用生钛、含钒生钛等。废钢铁入此。
H42,铁合金,H40/59,硅铁、锰铁、铬铁及其氧化物（如：钒碴、氧化钼块、五氧化二钒），复合铁合金等。
H43,钢锭、钢坯,H40/59,
H44,型钢、异型钢,H40/59,钢筋、盘条入此。
H46,钢板、钢带,H40/59,
H48,钢管、铸铁管,H40/59,异型钢管，石油、钻探钢管入此。
H49,钢丝、钢丝绳,H40/59,
H52,铁道用钢,H40/59,各种钢轨（如：重轨、轻轨、平车轨、起重机与吊车用钢轨），鱼尾板、垫板，辗钢轮，轮箍等。异型钢轨、焊接长钢轨等入S11。
H53,电工用钢,H40/59,硅钢、纯铁及其板、呸等。
H54,其他钢铁产品,H40/59,铸钢丸、铸铁砂、还原铁粉等。
H57,高温合金,H40/59,
H58,精密合金,H40/59,
H59,其他特种合金,H40/59,耐蚀合金、高纯合金、高电阻电热合金等。
H60,有色金属及其合金产品综合,H60/69,术语、牌号、一般规定、通用工艺等。
H61,轻金属及其合金,H60/69,钠、镁、铝、钾、钙、锶、钡等及其合金产品。
H62,重金属及其合金,H60/69,钴、镍、铜、锌、镉、锡、锑、汞、铅、铋等及其合金产品。电工用保险丝入此。
H63,稀有高熔点金属及其合金,H60/69,钒、锆、铌、钼、铪、钽、钨等及其合金产品。
H64,稀有轻金属及其合金,H60/69,锂、铍、钛、铷、铯等及其合金产品。
H65,稀土金属及其合金,H60/69,钪、钇、镧、铈、镨、钕、钐、铕、钆、铽等及其合金产品。
H66,稀有分散金属及其合金,H60/69,镓、锗、铟、铼、铊等及其合金产品。
H67,放射性金属及其合金,H60/69,镭、钍、锕等及其合金产品。铀、镤及其合金入F46。
H68,贵金属及其合金,H60/69,钌、铑、钯、银、锇、铱、铂、金等及其合金产品。
H69,再生有色金属及其合金,H60/69,
H70,粉末冶金综合,H70/74,术语、分类、牌号、一般规定、工艺等。
H71,金属与合金粉末,H70/74,稀有金属粉末入H63。
H72,粉末冶金材料与制品,H70/74,各种硬质合金材料，金属陶瓷材料，烧结金属材料，减摩材料，摩擦材料，多孔材料，磁性材料，以及硬质合金刀片，轴套等。
H80,半金属与半导体材料综合,H80/84,
H81,半金属,H80/84,硼、硅、砷、硒、碲等。
H82,元素半导体材料,H80/84,硅、锗单晶材料等。
H83,化合物半导体材料,H80/84,砷化镓等。
H90,冶金机械设备综合,H90/99,术语、分类等。
H91,炼焦、烧结设备,H90/99,
H92,冶炼设备,H90/99,铁合金、炼铁、炼钢、有色金属冶炼设备等。
H93,铸锭、铸坯设备,H90/99,连续铸钢设备、有色金属连铸设备，脱模机等。钢锭模入此。
H94,轧制设备,H90/99,各种轧制、拉丝、制绳设备及酸洗、修磨、矫直、剪切、卷曲等辅助设备。轧辊入此。
H95,冶金加热、热处理设备,H90/99,金属材料预热、退火、正火等设备。
J00,标准化、质量管理,J00/09,标准化工作法规、导则，质量监督法规导则，产品质量认证制度等。
J01,技术管理,J00/09,技术文件管理、能源管理、设备与工具管理等。
J02,经济管理,J00/09,计划、供销、财务、劳资管理等。
J04,基础标准与通用方法,J00/09,术语、符号、代号、机械制图、公差配合、形位公差、螺纹、表面粗糙度，锥度、角度公差及设计计算方法，机械通用技术及试验、检验方法（含无损检验、机械震动、冲击试验）等。金属材料无损检验方法入H26。
J05,结构要素,J00/09,滚花、螺纹收尾、润滑槽、退刀槽、T形槽、轴伸、中心孔等。
J07,电子计算机应用,J00/09,
J08,标志、包装、运输、贮存,J00/09,
J09,卫生、安全、劳动保护,J00/09,铸锻、焊接、热处理、喷漆等安全卫生，安全装置及除尘设备等。
J10,通用零部件综合,J10/29,
J11,滚动轴承,J10/29,关节轴承、滚动支承入此。
J12,滑动轴承,J10/29,轴瓦、轴套、液体静压轴承、液体动压轴承、空气轴承、电磁轴承等。
J13,紧固件,J10/29,螺钉、木螺钉、自攻螺钉、螺栓、螺柱、螺母、垫圈、销、铆钉等。
J15,管路附件,J10/29,管法兰、焊接式、扩口式和卡套式管接头，弯头，三通等。
J16,阀门,J10/29,非金属阀门入此。
J17,齿轮与齿轮传动,J10/29,齿轮、齿轮传动、蜗轮传动、凸轮传动等。非金属齿轮入此。齿轮的齿形与模数入此。
J18,链传动、皮带传动与键联结,J10/29,花键联结入此。
J19,联轴器、制动器与变速器,J10/29,离合器入此。
J20,液压与气动装置,J10/29,液压泵、液压马达、液压控制阀、液压缸、蓄能器、滤油器、热变换器以及液压、射流气动元件和系统。
J21,润滑与润滑装置,J10/29,
J22,密封与密封装置,J10/29,各种塑料、皮革、纤维、金属、陶瓷、石墨及石棉等材质的静动密封件和密封系统装置等。橡胶密封件入G43。
J24,冷却与冷却装置,J10/29,冷却过滤器入此。
J26,弹簧,J10/29,圆柱螺旋弹簧、蜗卷弹簧、板弹簧、碟簧等。
J27,操作件,J10/29,手柄、手轮等。
J28,自动化物流装置,J10/29,机械手、上下料装置、生产线用传送装置等。
J29,其他,J10/29,指示牌等。
J30,加工工艺综合,J30/39,
J31,铸造,J30/39,钢、铁、有色金属铸件品种、技术要求、检验方法及造型材料、炉料、铸造工艺、铸造工装等。
J32,锻压,J30/39,锻压件技术要求、检验方法及其工艺、工装等。
J33,焊接与切割,J30/39,金属焊接、胶接、热切割工艺、工装、技术要求、焊后处理及检验方法等。电焊条、焊粉、焊剂入此。
J36,热处理,J30/39,热处理工艺、工装及检验方法等。
J38,冷加工工艺,J30/39,
J39,特种加工工艺,J30/39,超声波、电火花、激光加工等。
J40,工艺装备综合,J40/49,
J41,刀具,J40/49,各种金属切销刀具。硬质合金刀片入H72。
J42,量具与量仪,J40/49,测量线值、几何量值的量具与量仪，尺寸分选机等。主要用于计量标准器的量具与量仪入A50/61。
J43,磨料与磨具,J40/49,普通磨料磨具、超硬磨料磨具等。研磨材料，人造金刚石及砂纸入此。
J44,一般卡具,J40/49,压板、档块、定向键、钻套、紧固件等。
J45,组合卡具,J40/49,基础件、支承件、定位件、导向件、夹紧件、紧固件、合件等。
J46,模具,J40/49,冲模、锻模、铸造模、压铸模、粉末冶金模、塑料模、橡胶模、玻璃模、陶瓷模等。
J47,手工工具,J40/49,手工工具（锤、锉、刮刀、板手、钳子、锯、刨刀、镐等。）
J48,气动工具,J40/49,气钻、气铲等。
J50,机床综合,J50/59,术语、符号、型号、结构要素、技术参数、铭牌、通用技术条件、通用检验方法、数控系统、机床电气系统等。
J51,机床零部件,J50/59,机床用紧固件、操作件、管件、液压件、润滑件、冷却件、传动件、电器件、感应同步器及光栅等。通用电器入K类。
J52,机床辅具与附件,J50/59,各类机床辅具、分度头、工作台、平口钳、卡盘、吸盘、卡头、顶尖、套筒、刀杆、刀架、立铣头等。
J53,车床,J50/59,普通车床、立式车床、六角车床、自动车床、铲齿车床、数控车床、仪表车床等。
J54,钻、镗、铣床,J50/59,立式钻床、摇臂钻床、卧床镗床、座标镗床、金刚镗床、镗缸机、立式铣床、卧式铣床、数控铣床、自动换刀数控镗铣床等。
J55,磨床,J50/59,外圆磨床、平面磨床、无心磨床、内圆磨床、衍磨、研磨机、锉球机、导轨磨床、轴承磨床等。
J56,齿轮与螺纹加工机床,J50/59,齿林的滚、插、剃、磨、刨、研、衍、拉齿机，齿轮倒角机、套丝机、攻丝机、丝杠铣床、螺纹磨床、蜗杆磨床等。
J57,插、拉、刨、锯床,J50/59,插床、卧式拉床、立式拉床、牛头刨床、龙门刨床、砂轮切断机、带锯机、圆锯机、弓锯机等。
J58,组合机床,J50/59,通用综合机床自动线、自动装配回转体加工自动线、自动更换主轴箱机床等。
J59,特种加工机床,J50/59,电加工（如：电火花成形、线切割机床），电化学加工、超声波加工、高速流体加工、光能加工、联合加工机床等。管子加工、玻璃加工、刻线木螺钉加工等机床入此。
J60,通用加工机械与设备综合,J60/69,
J61,铸造设备,J60/69,砂处理、造型、制芯、落砂、熔炼浇注清理、熔模及运输定量、检测控制等设备、工具。
J62,锻压机械,J60/69,液压机、机械压力机、自动锻压机、锻机、动力锤、剪冲机、冲孔机、弯曲机、校正机。
J64,焊接与切割设备,J60/69,各种焊接、热切割设备及工具等。
J65,木工机床及机用工具,J60/69,木工机床、带锯、圆锯、开榫机及机用工具等。
J66,热处理设备,J60/69,热处理炉、加热装置、淬火装置、辅助设备等。金相检测仪器入N67。
J70,通用机械与设备综合,J70/89,
J71,泵,J70/89,旋涡式、射流式、活塞式、隔模式、齿轮式、螺杆式、转子式、软管式泵等。液压传动用泵入J20。
J72,压缩机、风机,J70/89,活塞式、螺杆式、隔模、滑片式、摆杆式压缩机，轴流式、离心式、罗茨式压缩机与风机等。
J73,制冷设备,J70/89,制冷机，冷冻、冷藏设备等。
J74,压力容器,J70/89,常压、高压及超高压容器等。压力容器的焊接工艺、探伤方法入此。
J75,换热设备,J70/89,
J76,气体分离与液化设备,J70/89,空分及液化设备、天然气分离设备、溶解乙炔设备、液氮生物容器等。
J77,分离机械,J70/89,离心机、过滤机、分离机、压滤机等。
J78,真空技术与设备,J70/89,真空应用与获得设备等。真空镀膜设备入此。
J80,起重机械,J70/89,简易起重设备、葫芦，单轨起重机、桥式起重机、龙门起重机、臂架起重机、塔式起重机、卷扬机、汽车和轮胎式起重机（含抓斗、吊具）及管道起重机等。
J81,输送机械,J70/89,带式、板式、埋刮板、螺旋、震动、辊子、悬挂、牵引链、斗式输送机，斗式提升机，架空索道，气力输送，气垫输送，悬挂轨道输送及管道输送等。
J83,仓储设备、装卸机械,J70/89,给料机、装卸机、卸载机、翻车机、堆取料机、堆垛机、包装机械等。各种叉车入此。
J84,凿岩机械,J70/89,各类凿岩机及辅助设备。
J86,水工机械,J70/89,升船机，启闭机等。
J87,印刷机械,J70/89,制版机械，印刷机械，装订机械等。
J88,环境保护设备,J70/89,有害气体处理设备，废水处理设备，消声、防震设备及污泥、垃圾处理设备等。
J90,活塞式内燃机与其它动力设备综合,J90/99,术语、转向、气缸排列、编号，安装尺寸系列，通用试验方法，专用工艺和工装等。
J91,内燃机与附属装置,J90/99,柴油机，汽油机，特殊结构发动机，其他燃料发动机及其附属装置等。增压器及专用测试设备入此。
J92,机体与运动件,J90/99,缸体、缸套、缸盖、密封垫、活塞、活塞环、活塞销、连杆、轴瓦、曲轴、飞轮、正时齿轮和滚子链条等。
J93,进、排气系统,J90/99,气门及其弹簧、导管、梃杆、推杆、摇臂、凸轮轴、进气与排气支管、消声器、空气滤清器等。
J94,燃油供给系统,J90/99,化油器，气化装置，燃油滤清器，喷油泵，喷油嘴，燃油箱等。
J95,润滑系统,J90/99,机油泵、机油滤清器，机油散热器等。
J96,冷却系统与加热装置,J90/99,散热器、风扇、节温器、预热装置等。
J98,锅炉及其辅助设备,J90/99,电站锅炉，工业锅炉、余热锅炉、热水锅炉等及其辅助设备。锅炉高能点火器入T37。煤的粉碎、推进机械，锅炉用水处理设备、罐内水处理剂配方等入此。
J99,其他动力设备,J90/99,蒸气机，煤气化设备等。工业汽轮机，水轮机，燃气轮机入K54/59。
K00,标准化、质量管理,K00/09,标准化工作法规、导则，质量监督法规、导则，产品认证制度等。
K01,技术管理,K00/09,技术文件管理，能源管理，设备、工具管理等。
K02,经济管理,K00/09,计划、供销、财务、劳资管理等。
K04,基础标准和通用方法,K00/09,术语，符号，产品分类，电压，电流，频率和绝缘配合等级，可靠性评定方法，抽样方法，无线电干扰基本测试方法，短路电流测试方法等。通用环境条件及其试验方法入A21。
K05,电工产品机械结构,K00/09,电工产品用机箱、机柜、机架、面板、以及金属结构件和铭牌等。
K07,电子计算机应用,K00/09,
K08,标志、包装、运输、贮存,K00/09,
K09,卫生、安全、劳动保护,K00/09,电工（含电力）安全通则、电器安全、防触电性能分级、高电压防护、劳动保护规定等。
K10,电工材料和通用零件综合,K10/19,分类、命名、材料代号、通用试验方法等。
K11,裸电线,K10/19,铜、铝圆扁线、母线、单线、绞线、电车线等。
K12,带绝缘层电线,K10/19,带橡胶、塑料、棉纱、漆、纸等绝缘层的各种电线。
K13,电缆及其附件,K10/19,各种电力电缆、通信电缆、信号电缆及其附件等。电子设备电缆入L91。
K14,电工合金零件,K10/19,铸造磁钢，各种电触头、电热、电阻和弹性合金制品等零件。电工用铜、铝锭，硅钢片，电缆用钢丝、钢带及保险丝等入H类。
K15,电工绝缘材料及其制品,K10/19,电工用绝缘漆、胶、树脂、塑料、橡胶、云母、薄膜、粘带、液体、气体和绝缘纤维、层压制品、复合制品、云母制品等。一般树脂、塑料、橡胶入G30/49。矿物绝缘油入E38。
K16,电碳制品,K10/19,电机用碳刷、碳滑块等。石墨碳素材料入Q50/53。
K20,旋转电机综合,K20/29,术语、符号、基本技术条件、轴伸、轴高、性能测试方法、冷却方法、通用零部件等。
K21,同步电机,K20/29,同步发电机、同步电动机、同步调相机等。
K23,直流电机,K20/29,各种直流发电机、电动机等。
K24,微型电机,K20/29,各种驱动、控制和特殊用微电机等。
K25,防爆电机,K20/29,
K26,特殊电机,K20/29,潜油、潜卤、潜水电机，钻探、起重和冶金用电机，变频电机，屏蔽型电机，防腐蚀电机，电机测功机等。
K30,低压电器综合,K30/39,术语、符号、可靠性、通用试验方法、插头、插座、通用零部件等。
K31,低压配电电器,K30/39,低压断路器、熔断器、自动开关、转换开关、刀开关等。
K32,控制电器,K30/39,低压接触器、起动器、控制器，主令电器、电阻器、变阻器、电磁铁等。
K33,控制继电器,K30/39,各种低压控制继电器等。
K34,特殊用途电器,K30/39,热带、化工、高原电器等。
K35,防爆电器,K30/39,厂矿用低压防爆电器，成套防爆电控装置、防爆灯具等。
K36,低压配电用器具,K30/39,各种低压配电盘、配电板、配电箱等。
K40,输变电设备综合,K40/49,术语，符号，输电质量，电站、电网维修和安全操作规程，高电压与强电流的试验方法，高压电路设备要求等。
K41,变压器,K40/49,电力变压器、整流变压器、电炉变压器、特种变压器、互感器、调压器、电抗器等。
K42,电力电容器,K40/49,
K43,高压开关设备,K40/49,高压断路器、隔离开关、负荷开关、高压熔断器、开式与闭式组合电器、复合式组合电器、高压开关柜等。高压防爆电器入此。
K44,高电压设备成套装置,K40/49,封闭母线、静电压无功补偿装置，串、并联电容补偿装置，冲击电流，电压发生器等。
